codigo,idh
261500,0.641
432130,0.733
432120,0.727
270910,0.541
355365,0.759
522100,0.716
316830,0.651
510800,0.714
355360,0.751
412690,0.697
293130,0.594
316810,0.712
355350,0.681
316820,0.667
432110,0.695
251650,0.578
293120,0.566
432100,0.747
432090,0.76
412680,0.703
130410,0.502
316805,0.645
293110,0.597
293105,0.599
221097,0.579
270900,0.555
293100,0.577
330575,0.654
421790,0.737
241400,0.608
510795,0.729
355340,0.748
221095,0.501
231320,0.58
412670,0.731
355330,0.731
412667,0.621
261485,0.593
172097,0.654
355320,0.76
241390,0.569
172093,0.601
421780,0.761
316800,0.67
150795,0.588
355310,0.71
172090,0.634
355300,0.709
500795,0.593
251640,0.551
355290,0.723
261480,0.573
261470,0.554
316790,0.681
231310,0.645
241380,0.612
293090,0.584
355280,0.769
261460,0.605
355270,0.704
130406,0.616
355260,0.735
510794,0.695
432085,0.701
355250,0.765
355255,0.699
221093,0.586
261450,0.635
330570,0.611
251630,0.627
355240,0.762
412665,0.693
421775,0.707
355230,0.747
172085,0.667
211195,0.568
211190,0.579
293080,0.592
251620,0.668
150790,0.615
251615,0.573
510792,0.744
355220,0.798
320501,0.662
500793,0.681
421770,0.728
231300,0.625
261440,0.585
432080,0.731
251610,0.616
316780,0.697
251600,0.595
355210,0.729
221090,0.561
316770,0.631
231290,0.714
251597,0.573
432070,0.743
293077,0.631
241370,0.572
211180,0.564
172080,0.604
293076,0.533
293075,0.564
522070,0.617
280720,0.609
261420,0.597
412660,0.704
510790,0.754
432067,0.631
221080,0.627
316760,0.632
522068,0.645
221070,0.575
293070,0.675
316750,0.638
280710,0.604
316740,0.699
130400,0.632
355200,0.678
316730,0.652
432065,0.742
172065,0.675
522060,0.709
330560,0.654
221065,0.581
500790,0.686
421760,0.774
355190,0.715
241360,0.604
432060,0.752
316555,0.542
500770,0.614
316720,0.76
432057,0.683
355180,0.673
355170,0.761
251593,0.621
432055,0.689
432050,0.751
412650,0.723
261410,0.613
412640,0.725
316710,0.656
293060,0.59
261400,0.595
241350,0.592
241355,0.598
293050,0.634
261390,0.661
251590,0.547
251580,0.57
293040,0.566
510788,0.664
316700,0.643
522050,0.681
412635,0.762
316695,0.633
211178,0.519
316690,0.677
355160,0.767
241340,0.597
355150,0.729
251570,0.586
320500,0.739
293030,0.608
316680,0.696
316670,0.651
293015,0.595
160005,0.709
241335,0.614
241330,0.582
316660,0.677
251560,0.626
251550,0.628
355140,0.686
316650,0.557
421755,0.773
330555,0.713
316640,0.66
432045,0.652
110150,0.598
251540,0.555
316630,0.56
432040,0.76
293020,0.585
432035,0.671
293010,0.666
316620,0.626
316610,0.565
316600,0.631
412630,0.663
120050,0.603
432032,0.693
231280,0.603
270895,0.518
231270,0.619
316590,0.62
211176,0.602
150780,0.514
316580,0.684
120045,0.64
241320,0.57
316570,0.644
241310,0.583
316560,0.674
522045,0.701
316557,0.661
211174,0.538
316556,0.654
500780,0.682
432030,0.777
432026,0.659
432023,0.712
432020,0.723
221063,0.562
293000,0.615
221062,0.536
355130,0.773
421750,0.779
292990,0.635
421740,0.769
292980,0.549
421730,0.755
412627,0.699
292975,0.617
211172,0.493
270890,0.66
292970,0.527
316553,0.734
355120,0.688
316550,0.636
355110,0.707
432010,0.777
412625,0.695
330550,0.709
316540,0.68
330540,0.675
150775,0.59
432000,0.726
412620,0.655
431990,0.711
510787,0.732
251530,0.569
292960,0.614
355100,0.768
241300,0.642
261380,0.549
211170,0.592
431980,0.685
316530,0.715
431975,0.754
172049,0.643
431973,0.642
431970,0.72
431971,0.764
241290,0.585
412610,0.725
316510,0.7
316500,0.662
316520,0.667
355090,0.766
522040,0.72
431960,0.708
355070,0.772
251520,0.581
130395,0.577
172030,0.573
316490,0.676
316480,0.632
292950,0.657
316470,0.722
316460,0.626
316450,0.581
431950,0.739
316447,0.607
330530,0.646
251510,0.594
316443,0.66
355080,0.701
150770,0.558
316440,0.692
412600,0.715
270880,0.549
172025,0.605
355060,0.768
320495,0.7
316430,0.672
316420,0.64
211167,0.516
221060,0.661
211163,0.516
211160,0.61
241280,0.611
355040,0.755
241270,0.589
355050,0.703
431940,0.709
316410,0.622
316400,0.659
211157,0.6
221050,0.595
412590,0.704
412580,0.717
412575,0.683
431937,0.763
421725,0.734
316390,0.674
431936,0.664
431935,0.739
510740,0.66
330520,0.712
211153,0.605
355030,0.805
241260,0.622
130390,0.521
431930,0.692
522028,0.693
431920,0.645
241250,0.606
172020,0.623
221040,0.556
270870,0.591
270860,0.623
522026,0.697
421720,0.801
412570,0.704
110032,0.646
150760,0.591
241255,0.591
221039,0.535
522020,0.664
316380,0.644
280700,0.567
251500,0.548
431915,0.667
292940,0.593
421715,0.71
221038,0.563
355020,0.71
320490,0.735
412560,0.719
211150,0.616
421710,0.742
431910,0.726
431912,0.652
431900,0.768
355010,0.744
412555,0.725
251490,0.641
140060,0.649
431890,0.741
522015,0.669
211130,0.768
211140,0.54
270850,0.536
221037,0.554
355000,0.697
231260,0.62
522010,0.731
421700,0.755
316370,0.759
431880,0.687
221035,0.595
421690,0.749
354995,0.728
261370,0.653
431870,0.739
221030,0.594
421660,0.809
510735,0.657
330515,0.66
431861,0.725
251445,0.541
510710,0.719
412550,0.758
241240,0.694
251480,0.556
354990,0.807
211125,0.557
431862,0.663
251470,0.617
354980,0.797
354970,0.774
510730,0.682
510729,0.661
221020,0.552
221010,0.573
431860,0.755
431850,0.623
316360,0.657
316350,0.566
292937,0.552
431849,0.747
431848,0.707
431846,0.717
316340,0.666
261360,0.635
221005,0.565
316330,0.658
421680,0.636
421670,0.731
241230,0.615
320480,0.688
251465,0.581
251460,0.578
261350,0.61
354960,0.684
316320,0.717
330513,0.652
211120,0.708
251455,0.565
251450,0.591
241220,0.611
251440,0.577
251430,0.565
292935,0.546
316310,0.704
270840,0.527
412545,0.713
431845,0.651
316300,0.583
316295,0.729
270830,0.573
251420,0.53
261340,0.608
